iter	MultiClass
0	1.035453099
1	0.9867044537
2	0.9482525051
3	0.9157001875
4	0.8889279549
5	0.866728315
6	0.8479596717
7	0.8315431512
8	0.8184832665
9	0.806878054
10	0.7963147618
11	0.786570496
12	0.7787201381
13	0.7718500846
14	0.7652882639
15	0.759872254
16	0.7551479273
17	0.7500950005
18	0.744455374
19	0.7408126852
20	0.7374867222
21	0.7347352298
22	0.7322949441
23	0.7292702071
24	0.7263745083
25	0.7239580958
26	0.7218802632
27	0.7199156883
28	0.7179034735
29	0.7155738465
30	0.7137050928
31	0.7120136219
32	0.7103916363
33	0.7082818645
34	0.7069861334
35	0.7049718206
36	0.7026428137
37	0.7008494634
38	0.6983100442
39	0.6964701631
40	0.6953903047
41	0.6933465035
42	0.6922275456
43	0.6909334351
44	0.6902720746
45	0.6890586174
46	0.6880335317
47	0.6869570617
48	0.6855617955
49	0.6838390678
50	0.6827724673
51	0.6817689457
52	0.6811457958
53	0.6799625023
54	0.6782393855
55	0.6773672912
56	0.676140467
57	0.6743407331
58	0.6733018421
59	0.6729168402
60	0.6721127352
61	0.6712056144
62	0.670086351
63	0.6696441698
64	0.6681965516
65	0.6671094451
66	0.6662809107
67	0.665295665
68	0.6644693384
69	0.6639145975
70	0.6631792983
71	0.6615441808
72	0.6598795445
73	0.6590765933
74	0.6581848685
75	0.6569758222
76	0.6561879824
77	0.6556542648
78	0.6544709026
79	0.6538891034
80	0.6535380312
81	0.6531565494
82	0.6524047461
83	0.6519978936
84	0.6514223275
85	0.6508700798
86	0.6501414116
87	0.6494208076
88	0.6489324048
89	0.6484221723
90	0.6480446229
91	0.6472758868
92	0.6464757532
93	0.6462121358
94	0.6454924553
95	0.6448208227
96	0.642849618
97	0.6423018866
98	0.6417930008
99	0.6412205197
100	0.6406939027
101	0.6403125316
102	0.6398693668
103	0.6394624437
104	0.6389331097
105	0.6383001861
106	0.6375202
107	0.6370077041
108	0.636551846
109	0.636081836
110	0.6357040996
111	0.6350935583
112	0.6346677903
113	0.6341839142
114	0.6330605096
115	0.6324480133
116	0.631962227
117	0.6314691989
118	0.6311725572
119	0.630348249
120	0.6294367378
121	0.6281595965
122	0.6272245576
123	0.6268348586
124	0.6260727684
125	0.6256341444
126	0.6245763072
127	0.6239755976
128	0.6235003481
129	0.6229103391
130	0.6220463479
131	0.6214029104
132	0.6211877707
133	0.6198360774
134	0.6192930082
135	0.6183298052
136	0.6177436656
137	0.6171367193
138	0.6168025807
139	0.6164483435
140	0.6158191285
141	0.6150526073
142	0.6148139987
143	0.6142419403
144	0.6134350679
145	0.6129735374
146	0.6122285962
147	0.6117678479
148	0.6109559514
149	0.6107257279
150	0.6103277769
151	0.6097314056
152	0.6092968313
153	0.6086486685
154	0.6081668629
155	0.6077168029
156	0.6073903766
157	0.6068815096
158	0.6065755221
159	0.6058972009
160	0.6055972787
161	0.6050046811
162	0.6045338702
163	0.6040368096
164	0.6035083545
165	0.6030761312
166	0.6025363496
167	0.6021518272
168	0.6016839995
169	0.6013693368
170	0.601057572
171	0.600531567
172	0.6001797336
173	0.5998448236
174	0.5995644611
175	0.5990368751
176	0.5984028154
177	0.5979064537
178	0.5975215612
179	0.5971940821
180	0.5965810254
181	0.596146715
182	0.5956806518
183	0.5954359916
184	0.5950389621
185	0.5948400722
186	0.5943959579
187	0.5941789769
188	0.5938586185
189	0.5936018019
190	0.5932524126
191	0.5929171899
192	0.5924346229
193	0.591897691
194	0.5915101416
195	0.59130738
196	0.5911710872
197	0.590795153
198	0.590369608
199	0.5900726529
200	0.589786018
201	0.5895842734
202	0.5892714863
203	0.5890741127
204	0.5884673181
205	0.5880369517
206	0.5877477997
207	0.5874066847
208	0.5870644207
209	0.5867852524
210	0.5862448184
211	0.5860750325
212	0.5857617268
213	0.5854939783
214	0.5851080326
215	0.5845262568
216	0.5842904955
217	0.5840235233
218	0.5836966232
219	0.5833922178
220	0.582987598
221	0.5828331032
222	0.5823902149
223	0.5821440216
224	0.5818974853
225	0.581511893
226	0.581313191
227	0.5811755109
228	0.5806576368
229	0.5803305034
230	0.5799247259
231	0.5796993128
232	0.5793913931
233	0.5790487444
234	0.5786751942
235	0.5784177351
236	0.5780807614
