iter	Passed	Remaining
0	181	181292
1	222	110817
2	260	86492
3	296	73762
4	332	66204
5	370	61415
6	408	58011
7	451	55934
8	492	54250
9	533	52791
10	572	51493
11	610	50239
12	647	49164
13	685	48270
14	725	47608
15	759	46712
16	794	45931
17	829	45271
18	872	45068
19	906	44434
20	947	44173
21	979	43557
22	1017	43239
23	1055	42913
24	1094	42694
25	1127	42239
26	1164	41976
27	1207	41907
28	1244	41663
29	1278	41348
30	1315	41110
31	1355	40989
32	1390	40755
33	1424	40464
34	1459	40235
35	1503	40261
36	1536	40000
37	1570	39766
38	1605	39572
39	1645	39484
40	1678	39263
41	1715	39132
42	1752	39008
43	1785	38803
44	1820	38625
45	1860	38585
46	1898	38493
47	1936	38406
48	1974	38325
49	2013	38263
50	2051	38179
51	2085	38021
52	2122	37923
53	2163	37896
54	2207	37932
55	2253	37992
56	2338	38691
57	2396	38920
58	2458	39211
59	2506	39269
60	2568	39542
61	2608	39470
62	2647	39383
63	2688	39319
64	2728	39250
65	2769	39187
66	2807	39095
67	2847	39033
68	2881	38876
69	2914	38715
70	2955	38675
71	2993	38579
72	3038	38585
73	3073	38458
74	3112	38386
75	3149	38290
76	3193	38274
77	3229	38178
78	3270	38129
79	3312	38097
80	3347	37982
81	3380	37845
82	3420	37791
83	3454	37668
84	3496	37643
85	3534	37565
86	3572	37485
87	3608	37396
88	3646	37325
89	3686	37274
90	3724	37203
91	3768	37193
92	3816	37222
93	3852	37130
94	3894	37097
95	3930	37011
96	3975	37007
97	4011	36921
98	4050	36863
99	4087	36791
100	4126	36730
101	4161	36634
102	4205	36623
103	4248	36606
104	4288	36554
105	4343	36632
106	4396	36690
107	4447	36732
108	4495	36745
109	4544	36768
110	4591	36774
111	4633	36736
112	4696	36865
113	4739	36838
114	4779	36784
115	4821	36742
116	4860	36684
117	4905	36665
118	4942	36590
119	4983	36542
120	5034	36575
121	5080	36563
122	5118	36498
123	5154	36414
124	5199	36395
125	5230	36284
126	5271	36235
127	5309	36170
128	5348	36109
129	5386	36047
130	5423	35974
131	5463	35927
132	5499	35848
133	5544	35830
134	5578	35745
135	5617	35688
136	5656	35629
137	5699	35598
138	5736	35530
139	5771	35452
140	5805	35368
141	5851	35353
142	5885	35269
143	5920	35192
144	5961	35149
145	6000	35099
146	6040	35052
147	6072	34957
148	6107	34881
149	6141	34801
150	6175	34720
151	6212	34659
152	6245	34577
153	6286	34532
154	6327	34495
155	6360	34409
156	6392	34325
157	6428	34257
158	6463	34186
159	6499	34121
160	6538	34074
161	6590	34090
162	6667	34237
163	6708	34196
164	6749	34157
165	6789	34110
166	6824	34040
167	6860	33975
168	6894	33899
169	6928	33828
170	6962	33756
171	7001	33705
172	7040	33656
173	7076	33592
174	7108	33513
175	7145	33452
176	7187	33420
177	7223	33357
178	7254	33271
179	7287	33200
180	7332	33178
181	7368	33118
182	7405	33060
183	7438	32990
184	7479	32950
185	7514	32885
186	7554	32844
187	7588	32773
188	7618	32690
189	7657	32647
190	7700	32617
191	7735	32555
192	7777	32520
193	7825	32511
194	7863	32463
195	7896	32393
196	7932	32333
197	7970	32284
198	8019	32279
199	8053	32215
200	8089	32155
201	8122	32086
202	8161	32044
203	8192	31967
204	8233	31928
205	8269	31873
206	8304	31813
207	8338	31749
208	8369	31675
209	8401	31605
210	8437	31551
211	8472	31490
212	8508	31438
213	8542	31376
214	8579	31324
215	8621	31293
216	8654	31227
217	8688	31165
218	8721	31103
219	8757	31050
220	8797	31011
221	8826	30933
222	8866	30892
223	8898	30826
224	8936	30781
225	8976	30741
226	9007	30674
227	9040	30610
228	9080	30573
229	9117	30522
230	9146	30448
231	9178	30384
232	9211	30324
233	9245	30266
234	9291	30246
235	9324	30186
236	9360	30133
237	9389	30063
238	9426	30015
239	9465	29972
240	9497	29910
241	9529	29848
242	9564	29795
243	9600	29747
244	9636	29695
245	9674	29652
246	9708	29597
247	9746	29554
248	9781	29502
249	9817	29452
250	9855	29409
251	9883	29336
252	9921	29293
253	9955	29240
254	9990	29186
255	10023	29129
256	10055	29072
257	10092	29027
258	10124	28966
259	10159	28916
260	10191	28855
261	10225	28802
262	10267	28772
263	10302	28722
264	10339	28678
265	10373	28623
266	10412	28585
267	10443	28523
268	10474	28462
269	10505	28404
270	10540	28353
271	10578	28312
272	10613	28263
273	10647	28212
274	10684	28169
275	10725	28135
276	10758	28079
277	10789	28021
278	10826	27978
279	10858	27922
280	10891	27867
281	10926	27820
282	10964	27778
283	11000	27732
284	11040	27698
285	11078	27658
286	11112	27607
287	11143	27550
288	11180	27506
289	11216	27460
290	11250	27410
291	11280	27351
292	11312	27297
293	11355	27267
294	11393	27227
295	11423	27169
296	11457	27120
297	11495	27080
298	11533	27040
299	11569	26994
300	11602	26943
301	11636	26894
302	11673	26853
303	11711	26813
304	11745	26764
305	11779	26715
306	11811	26661
307	11841	26606
308	11881	26570
309	11911	26512
310	11946	26467
311	11983	26424
312	12028	26401
313	12061	26351
314	12093	26298
315	12125	26246
316	12157	26195
317	12192	26149
318	12226	26100
319	12260	26054
320	12291	26000
321	12327	25955
322	12362	25911
323	12395	25862
324	12433	25823
325	12467	25777
326	12503	25732
327	12537	25686
328	12573	25644
329	12605	25593
330	12640	25548
331	12680	25512
